ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
143,2,11.97,1.198,1.594,0.1604,0.2659,0.02719,0.06243,0.006915,0.08096,0.008835,1.672,0.08906,1.758,0.1047,1.717,0.0948,1.452,0.08839,1.443,0.05342,0.1998,0.4046,nan,0.6777,0.5077,3.491
144,2,9.145,0.9151,2.982,0.299,nan,nan,nan,nan,nan,nan,1.17,0.02049,7.659,0.4885,nan,nan,nan,nan,nan,nan,1.36,0.2376,0.7912,0.481,6.817,62.54
145,0,14.23,1.424,4.224,0.4234,nan,nan,nan,nan,nan,nan,1.408,0.02034,7.792,0.4855,nan,nan,nan,nan,nan,nan,1.209,0.7631,1.487,0.3235,8.599,79.7
146,1,127.7,12.77,21.23,2.125,1.077,0.1085,0.3836,0.0387,nan,nan,3.25,0.09253,2.773,0.06095,3.097,0.1151,3.645,0.4911,nan,nan,0.3624,0.9464,0.8235,0.4499,8.102,21.82
147,2,38.21,3.821,8.302,0.8306,1.562,0.1564,0.3987,0.0404,0.4413,0.04465,1.67,0.08526,1.465,0.03821,1.342,0.05541,0.8332,0.06379,1.139,0.02452,0.4458,0.2676,0.2951,0.3036,0.8303,4.218
148,2,26.73,2.674,4.76,0.4777,nan,nan,nan,nan,nan,nan,2.59,0.09374,5.695,0.405,nan,nan,nan,nan,nan,nan,0.3981,0.6367,0.6645,0.2687,7.457,40.29
149,1,87.2,8.721,16.33,1.634,0.7944,0.08031,0.2282,0.02319,nan,nan,2.739,0.09935,2.513,0.07151,2.873,0.1646,1.644,0.1688,nan,nan,0.3515,0.9406,0.8034,0.1855,4.458,15.27
150,1,72.52,7.252,14.13,1.414,0.6362,0.06451,0.1769,0.01804,nan,nan,2.604,0.118,2.356,0.08742,2.223,0.1265,2.839,0.3788,nan,nan,0.337,0.9434,0.7822,0.2863,3.348,12.8
151,2,13.1,1.31,1.542,0.1558,0.3744,0.03811,0.07585,0.008127,0.08975,0.009566,2.386,0.08539,2.635,0.1268,2.241,0.0802,3.086,0.3398,2.162,0.1303,0.2837,0.2037,nan,0.1077,0.8885,6.109
152,2,5.02,0.5026,1.151,0.1163,nan,nan,nan,nan,nan,nan,1.059,0.01456,5.277,0.422,nan,nan,nan,nan,nan,nan,0.2363,0.3322,nan,0.03761,1.724,17.74
153,2,25.34,2.534,5.215,0.522,0.2859,0.02943,0.05749,0.006173,nan,nan,1.579,0.05991,1.565,0.07618,1.589,0.08504,0.5986,0.1197,nan,nan,0.3285,0.417,0.3659,0.06938,0.8144,4.363
154,2,10.94,1.094,2.797,0.2802,0.005284,0.001045,nan,nan,nan,nan,1.667,0.08864,1.527,0.05051,nan,nan,nan,nan,nan,nan,0.3118,0.2642,nan,0.1856,0.5817,3.636
155,2,4.354,0.4358,0.5563,0.05847,0.05746,0.006249,nan,nan,nan,nan,1.366,0.05106,1.482,0.07712,1.316,0.08682,nan,nan,nan,nan,0.1873,0.2228,nan,0.03547,0.8938,5.818
156,2,5.322,0.5325,0.8978,0.09096,0.06639,0.007586,nan,nan,nan,nan,0.9673,0.04159,0.9423,0.03113,0.874,0.02844,nan,nan,nan,nan,0.384,0.2013,nan,0.1174,0.5606,3.927
157,2,5.488,0.549,0.6006,0.06185,nan,nan,nan,nan,nan,nan,1.003,0.0437,1.035,0.04998,nan,nan,nan,nan,nan,nan,0.212,0.613,0.3395,0.198,0.6029,5.236
